"participant"	"item"	"context"	"rpitch"	"rintensity"	"rduration"	"prominence"	"trial"	"text"
"73"	"1050"	"10"	"NoAlternative"	NA	-1.291	-0.306730267422475	"Noun"	34	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"74"	"1169"	"10"	"NoAlternative"	282.741198802031	-2.735	-0.624154309072994	"Noun"	33	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"75"	"1170"	"10"	"NoAlternative"	411.540467660881	1.57000000000001	-0.796943974241589	"Noun"	13	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"76"	"1171"	"10"	"NoAlternative"	NA	-2.87499999999999	-0.382992252256106	"Noun"	29	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"77"	"1172"	"10"	"NoAlternative"	-64.1610661734133	-2.104	-1.02338886743052	"Noun"	1	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"78"	"1174"	"10"	"NoAlternative"	-7.8260632744689	-2.557	-0.908258560176891	"Noun"	20	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"79"	"1175"	"10"	"NoAlternative"	895.463618338739	-2.997	-0.723000143709627	"Noun"	19	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"80"	"1177"	"10"	"NoAlternative"	287.025196655311	2.21299999999999	-0.946143695023836	"Noun"	20	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"81"	"1178"	"10"	"NoAlternative"	-142.691520394803	1.60599999999999	-0.819440905884237	"Noun"	19	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"82"	"1179"	"10"	"NoAlternative"	-857.432689822921	-0.509	-0.961411167154625	"Noun"	10	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
